#{"t_start": 1664975742.4017158, "env_id": null}
r,l,t
-51.0,51,0.20708
-51.0,51,0.207163
-51.0,51,0.207174
-51.0,51,0.207183
-8.0,8,0.224577
-51.0,51,0.323835
-51.0,51,0.323896
-51.0,51,0.323916
-51.0,51,0.348393
-51.0,51,0.491291
-51.0,51,0.491344
-51.0,51,0.491356
-51.0,51,0.515491
-51.0,51,0.620263
-51.0,51,0.620305
-51.0,51,0.620314
-51.0,51,0.637516
-35.0,35,0.694871
-51.0,51,0.728599
-51.0,51,0.728656
-51.0,51,0.744746
-9.0,9,0.746801
-20.0,20,0.793897
-51.0,51,0.811788
-51.0,51,0.859153
-51.0,51,0.885601
-51.0,51,0.955083
-27.0,27,0.971229
-51.0,51,0.971272
-51.0,51,1.004784
-51.0,51,1.07127
-51.0,51,1.091434
-51.0,51,1.091497
-51.0,51,1.147006
-44.0,44,1.23788
-51.0,51,1.240317
-51.0,51,1.253
-51.0,51,1.286584
-51.0,51,1.349272
-51.0,51,1.352475
-51.0,51,1.37089
-51.0,51,1.426069
-46.0,46,1.493371
-51.0,51,1.502397
-51.0,51,1.516959
-51.0,51,1.551519
-29.0,29,1.564636
-51.0,51,1.603036
-51.0,51,1.626957
-51.0,51,1.661711
-51.0,51,1.674774
-51.0,51,1.720987
-51.0,51,1.752187
-51.0,51,1.785701
-51.0,51,1.799141
-51.0,51,1.848619
-51.0,51,1.88184
-51.0,51,1.930606
-51.0,51,1.94475
-51.0,51,1.982438
-51.0,51,2.005923
-51.0,51,2.040733
-27.0,27,2.040788
-51.0,51,2.053543
-51.0,51,2.112818
-51.0,51,2.146833
-51.0,51,2.146887
-51.0,51,2.159876
-51.0,51,2.218486
-51.0,51,2.251058
-51.0,51,2.251113
-51.0,51,2.263906
-31.0,31,2.28351
-51.0,51,2.36073
-51.0,51,2.360788
-51.0,51,2.372928
-51.0,51,2.392845
-51.0,51,2.46836
-51.0,51,2.468419
-51.0,51,2.481044
-51.0,51,2.500476
-45.0,45,2.604353
-51.0,51,2.604412
-51.0,51,2.604422
-51.0,51,2.651094
-51.0,51,2.734298
-51.0,51,2.734357
-51.0,51,2.734366
-51.0,51,2.76472
-51.0,51,2.836674
-51.0,51,2.836716
-51.0,51,2.836725
-13.0,13,2.862146
-51.0,51,2.86623
-51.0,51,2.937814
-51.0,51,2.937871
-51.0,51,2.963459
-51.0,51,2.968076
-51.0,51,3.044198
-51.0,51,3.044255
-51.0,51,3.071404
-51.0,51,3.076068
-33.0,33,3.14434
-51.0,51,3.153849
-51.0,51,3.153907
-51.0,51,3.193526
-37.0,37,3.25074
-51.0,51,3.28613
-51.0,51,3.286186
-51.0,51,3.312069
-51.0,51,3.354455
-51.0,51,3.388216
-51.0,51,3.388275
-51.0,51,3.415593
-51.0,51,3.460693
-51.0,51,3.497128
-51.0,51,3.497185
-10.0,10,3.518639
-51.0,51,3.525107
