#{"t_start": 1658417775.9753768, "env_id": null}
r,l,t
15.0,199,0.412291
14.0,199,0.412387
15.0,199,0.412399
10.0,199,0.412406
15.0,199,0.962465
15.0,199,0.962528
11.0,199,0.962539
16.0,199,0.962547
17.0,199,1.475905
13.0,199,1.475973
13.0,199,1.475984
15.0,199,1.475991
12.0,199,1.996004
13.0,199,1.996071
15.0,199,1.996082
12.0,199,1.996093
13.0,199,2.548159
14.0,199,2.54823
15.0,199,2.548242
12.0,199,2.54825
17.0,199,3.127779
13.0,199,3.127839
13.0,199,3.127854
13.0,199,3.127862
16.0,199,3.720179
12.0,199,3.720242
11.0,199,3.720253
16.0,199,3.720261
12.0,199,4.283057
14.0,199,4.283131
10.0,199,4.283143
12.0,199,4.283152
11.0,199,4.882786
11.0,199,4.882851
11.0,199,4.882863
13.0,199,4.882884
16.0,199,5.453096
12.0,199,5.453161
12.0,199,5.453173
12.0,199,5.453181
11.0,199,6.012353
11.0,199,6.012419
11.0,199,6.01243
13.0,199,6.012439
12.0,199,6.534682
12.0,199,6.534759
10.0,199,6.53477
14.0,199,6.534779
13.0,199,7.072737
10.0,199,7.072807
13.0,199,7.07282
11.0,199,7.072828
11.0,199,7.592684
13.0,199,7.592754
11.0,199,7.592766
9.0,199,7.592775
12.0,199,8.122375
11.0,199,8.122441
11.0,199,8.122453
12.0,199,8.122461
9.0,199,8.637289
15.0,199,8.637364
15.0,199,8.63738
10.0,199,8.637388
7.0,199,9.14363
13.0,199,9.1437
11.0,199,9.143712
11.0,199,9.14372
14.0,199,9.65343
12.0,199,9.653501
10.0,199,9.653513
11.0,199,9.653521
10.0,199,10.166974
12.0,199,10.167037
11.0,199,10.167048
11.0,199,10.167057
13.0,199,10.716249
7.0,199,10.71632
10.0,199,10.716334
12.0,199,10.716345
8.0,199,11.335872
11.0,199,11.335943
11.0,199,11.335955
13.0,199,11.335964
13.0,199,11.875559
13.0,199,11.875632
13.0,199,11.875644
10.0,199,11.875652
13.0,199,12.422989
9.0,199,12.423059
11.0,199,12.42307
13.0,199,12.423079
13.0,199,12.937769
10.0,199,12.937832
12.0,199,12.937843
8.0,199,12.937852
14.0,199,13.444544
12.0,199,13.444608
14.0,199,13.444619
10.0,199,13.444628
9.0,199,13.976408
11.0,199,13.97648
9.0,199,13.976493
11.0,199,13.976502
10.0,199,14.512825
12.0,199,14.512895
12.0,199,14.512906
14.0,199,14.512914
12.0,199,15.087598
14.0,199,15.087668
8.0,199,15.08768
9.0,199,15.087689
12.0,199,15.619157
11.0,199,15.619212
12.0,199,15.619224
10.0,199,15.619232
13.0,199,16.206234
11.0,199,16.206294
10.0,199,16.206305
11.0,199,16.206314
11.0,199,16.896046
12.0,199,16.896119
7.0,199,16.896132
10.0,199,16.896141
11.0,199,17.42301
13.0,199,17.423082
10.0,199,17.423093
11.0,199,17.423102
11.0,199,17.956009
9.0,199,17.956083
12.0,199,17.956094
12.0,199,17.956103
13.0,199,18.465431
13.0,199,18.465495
11.0,199,18.465512
9.0,199,18.465521
14.0,199,18.970869
12.0,199,18.970934
9.0,199,18.970945
11.0,199,18.970954
10.0,199,19.478391
11.0,199,19.478465
12.0,199,19.478476
11.0,199,19.478485
9.0,199,19.982856
11.0,199,19.982917
9.0,199,19.982929
9.0,199,19.982937
11.0,199,20.487341
12.0,199,20.487396
9.0,199,20.487409
12.0,199,20.487419
8.0,199,20.992146
6.0,199,20.992216
9.0,199,20.992228
14.0,199,20.992237
12.0,199,21.4963
9.0,199,21.496369
9.0,199,21.49638
11.0,199,21.496391
9.0,199,22.008028
8.0,199,22.008096
10.0,199,22.008109
12.0,199,22.008118
9.0,199,22.512105
10.0,199,22.512171
9.0,199,22.512183
6.0,199,22.512195
6.0,199,23.018527
7.0,199,23.018593
9.0,199,23.018605
6.0,199,23.018614
10.0,199,23.576663
9.0,199,23.576735
10.0,199,23.576747
10.0,199,23.576757
10.0,199,24.128372
8.0,199,24.12846
8.0,199,24.128472
10.0,199,24.128481
6.0,199,24.686684
7.0,199,24.686752
10.0,199,24.686767
11.0,199,24.686776
9.0,199,25.246958
9.0,199,25.247023
11.0,199,25.247034
8.0,199,25.247043
9.0,199,25.766825
8.0,199,25.766885
6.0,199,25.766896
9.0,199,25.766904
9.0,199,26.349571
9.0,199,26.349637
9.0,199,26.349648
8.0,199,26.34966
10.0,199,26.866625
8.0,199,26.866694
6.0,199,26.866706
11.0,199,26.866715
10.0,199,27.402507
8.0,199,27.402577
10.0,199,27.402588
12.0,199,27.402597
9.0,199,27.939341
8.0,199,27.939403
8.0,199,27.939415
10.0,199,27.939424
8.0,199,28.477859
9.0,199,28.477937
10.0,199,28.477966
9.0,199,28.477976
9.0,199,28.995634
11.0,199,28.995692
8.0,199,28.995702
8.0,199,28.995709
10.0,199,29.520675
12.0,199,29.520739
10.0,199,29.520748
12.0,199,29.520755
11.0,199,30.05297
8.0,199,30.053032
13.0,199,30.053042
11.0,199,30.053049
10.0,199,30.581386
8.0,199,30.58144
10.0,199,30.58145
12.0,199,30.581457
9.0,199,31.110666
9.0,199,31.110726
8.0,199,31.110735
13.0,199,31.110742
11.0,199,31.638347
7.0,199,31.638415
10.0,199,31.638426
11.0,199,31.638434
9.0,199,32.17196
7.0,199,32.172023
6.0,199,32.172033
9.0,199,32.17204
9.0,199,32.751029
9.0,199,32.751092
11.0,199,32.751101
9.0,199,32.751109
8.0,199,33.288843
9.0,199,33.288903
9.0,199,33.288913
8.0,199,33.28892
7.0,199,33.814554
9.0,199,33.814612
10.0,199,33.814622
7.0,199,33.814629
6.0,199,34.339424
7.0,199,34.339487
12.0,199,34.339496
7.0,199,34.339503
10.0,199,34.920556
10.0,199,34.92061
6.0,199,34.920621
8.0,199,34.920629
7.0,199,35.462693
8.0,199,35.462747
11.0,199,35.462757
10.0,199,35.462764
10.0,199,35.986913
8.0,199,35.98697
8.0,199,35.98698
7.0,199,35.986987
13.0,199,36.564821
6.0,199,36.564888
8.0,199,36.5649
10.0,199,36.564909
10.0,199,37.135803
11.0,199,37.135863
11.0,199,37.135874
9.0,199,37.135883
10.0,199,37.654277
9.0,199,37.654344
11.0,199,37.654356
9.0,199,37.654364
10.0,199,38.18854
9.0,199,38.188611
11.0,199,38.188623
12.0,199,38.188632
12.0,199,38.701551
10.0,199,38.701618
12.0,199,38.701629
10.0,199,38.701638
9.0,199,39.235888
12.0,199,39.235962
9.0,199,39.235974
11.0,199,39.235983
10.0,199,39.864504
11.0,199,39.864576
10.0,199,39.864591
8.0,199,39.8646
11.0,199,40.433898
9.0,199,40.433977
9.0,199,40.43399
11.0,199,40.433999
11.0,199,40.965024
12.0,199,40.965086
10.0,199,40.965098
8.0,199,40.965107
10.0,199,41.49038
8.0,199,41.490441
9.0,199,41.490453
8.0,199,41.490462
10.0,199,42.028202
9.0,199,42.028275
9.0,199,42.028288
10.0,199,42.028296
9.0,199,42.579741
9.0,199,42.579806
8.0,199,42.579818
10.0,199,42.579827
8.0,199,43.105409
8.0,199,43.105468
8.0,199,43.105479
10.0,199,43.105488
10.0,199,43.660107
9.0,199,43.660176
7.0,199,43.660188
9.0,199,43.660197
6.0,199,44.209044
7.0,199,44.209117
10.0,199,44.209129
9.0,199,44.209138
9.0,199,44.799351
7.0,199,44.799433
7.0,199,44.799461
8.0,199,44.799559
8.0,199,45.339442
9.0,199,45.339513
