#{"t_start": 1664969536.207807, "env_id": null}
r,l,t
-6.0,6,0.109302
-2.0,2,0.127067
-11.0,11,0.194505
-24.0,24,0.210322
-28.0,28,0.219252
-5.0,5,0.231897
-16.0,16,0.247968
-51.0,51,0.272094
-51.0,51,0.320521
-51.0,51,0.360587
-51.0,51,0.376144
-51.0,51,0.400113
-51.0,51,0.442305
-51.0,51,0.473034
-51.0,51,0.4888
-51.0,51,0.51327
-8.0,8,0.531337
-32.0,32,0.544694
-51.0,51,0.556154
-51.0,51,0.603095
-2.0,2,0.60739
-51.0,51,0.644914
-51.0,51,0.658556
-51.0,51,0.669865
-43.0,43,0.702957
-5.0,5,0.714266
-11.0,11,0.738568
-51.0,51,0.757933
-51.0,51,0.771808
-51.0,51,0.78298
-30.0,30,0.840012
-51.0,51,0.859105
-6.0,6,0.877848
-51.0,51,0.887421
-51.0,51,0.921527
-8.0,8,0.946319
-13.0,13,0.9832
-51.0,51,0.992433
-51.0,51,1.019091
-51.0,51,1.025968
-39.0,39,1.070641
-12.0,12,1.100524
-51.0,51,1.114619
-36.0,36,1.114671
-51.0,51,1.153363
-51.0,51,1.248871
-51.0,51,1.25781
-51.0,51,1.257871
-45.0,45,1.271075
-18.0,18,1.288659
-19.0,19,1.299749
-7.0,7,1.315177
-29.0,29,1.334919
-24.0,24,1.366786
-51.0,51,1.36926
-51.0,51,1.400478
-51.0,51,1.447354
-51.0,51,1.480235
-51.0,51,1.482788
-51.0,51,1.513246
-13.0,13,1.542388
-4.0,4,1.551151
-51.0,51,1.560452
-51.0,51,1.593843
-51.0,51,1.596322
-28.0,28,1.614047
-19.0,19,1.638634
-51.0,51,1.67368
-51.0,51,1.70732
-51.0,51,1.727416
-51.0,51,1.761478
-43.0,43,1.780653
-2.0,2,1.785077
-12.0,12,1.811593
-51.0,51,1.832067
-51.0,51,1.8522
-51.0,51,1.876623
-13.0,13,1.880871
-51.0,51,1.924867
-51.0,51,1.945081
-32.0,32,1.947242
-19.0,19,1.966981
-9.0,9,1.967041
-8.0,8,1.984818
-51.0,51,1.994137
-31.0,31,2.013759
-11.0,11,2.018476
-11.0,11,2.039422
